Display,THD,TLD
NCW,13,11
NCW,5,6
NCW,14,13
NCW,55,75
NCW,7,1
SSD,24,22
SSD,31,43
SSD,0,0
SSD,27,38
SSD,52,50
NCW,15,13
NCW,20,11
NCW,10,16
NCW,6,14
SSD,52,13
SSD,21,38
SSD,11,16
SSD,55,30
NCW,5,15
NCW,7,8
NCW,16,4
NCW,13,8
SSD,57,14
SSD,21,37
SSD,36,10
SSD,57,15
