Display,THD,TLD
NCW,1,2
NCW,1,0
NCW,0,0
NCW,0,0
NCW,2,0
SSD,0,0
SSD,0,0
SSD,1,0
SSD,0,0
SSD,0,0
NCW,0,1
NCW,1,0
NCW,0,0
NCW,1,1
SSD,1,5
SSD,2,4
SSD,3,1
SSD,1,5
NCW,1,0
NCW,0,1
NCW,0,1
NCW,1,0
SSD,1,2
SSD,3,3
SSD,2,2
SSD,3,5
