Display,THD,TLD
NCW,4,5
NCW,3,2
NCW,1,2
NCW,2,2
NCW,4,4
SSD,1,5
SSD,4,4
SSD,4,4
SSD,4,2
SSD,2,2
NCW,6,6
NCW,5,2
NCW,3,4
NCW,3,4
SSD,2,4
SSD,2,3
SSD,4,2
SSD,2,4
NCW,2,3
NCW,6,5
NCW,7,4
NCW,4,5
SSD,3,3
SSD,3,4
SSD,3,3
SSD,4,4
