Participant Number,Display,THD,TLD
1,NCW,0,2
2,NCW,1,0
3,NCW,0,0
4,NCW,0,0
5,NCW,2,0
6,SSD,0,0
7,SSD,0,0
8,SSD,0,0
9,SSD,0,0
10,SSD,0,0
11,NCW,0,1
12,NCW,1,0
13,NCW,0,0
14,NCW,1,1
15,SSD,0,2
16,SSD,0,1
17,SSD,1,0
18,SSD,0,2
19,NCW,1,0
20,NCW,0,1
21,NCW,0,1
22,NCW,1,0
23,SSD,0,1
24,SSD,1,2
25,SSD,0,1
26,SSD,1,2
