Participant Number,Display,THD,TLD
1,NCW,13,11
2,NCW,5,6
3,NCW,14,13
4,NCW,55,75
5,NCW,7,1
6,SSD,24,22
7,SSD,31,43
8,SSD,0,0
9,SSD,27,38
10,SSD,52,50
11,NCW,15,13
12,NCW,20,11
13,NCW,10,16
14,NCW,6,14
15,SSD,52,13
16,SSD,21,38
17,SSD,11,16
18,SSD,55,30
19,NCW,5,15
20,NCW,7,8
21,NCW,16,4
22,NCW,13,8
23,SSD,57,14
24,SSD,21,37
25,SSD,36,10
26,SSD,57,15
