Display,THD,TLD
NCW,1,1
NCW,4,4
NCW,4,0
NCW,0,2
NCW,2,2
SSD,5,2
SSD,4,6
SSD,1,3
SSD,6,4
SSD,7,3
NCW,5,2
NCW,2,4
NCW,3,2
NCW,3,4
SSD,3,4
SSD,4,3
SSD,2,3
SSD,3,3
NCW,6,5
NCW,4,2
NCW,4,1
NCW,3,3
SSD,3,4
SSD,2,4
SSD,4,2
SSD,4,4
