Display,THD,TLD
NCW,13,11
NCW,3,1
NCW,10,7
NCW,53,75
NCW,2,1
SSD,22,21
SSD,28,39
SSD,0,0
SSD,24,35
SSD,49,47
NCW,9,12
NCW,13,9
NCW,10,13
NCW,3,12
SSD,43,11
SSD,14,35
SSD,8,14
SSD,44,28
NCW,4,13
NCW,3,6
NCW,11,2
NCW,7,5
SSD,45,8
SSD,12,37
SSD,29,4
SSD,49,14
