Display,THD,TLD
NCW,63,41
NCW,40,20
NCW,56,45
NCW,30,15
NCW,41,22
SSD,51,30
SSD,51,17
SSD,87,70
SSD,48,30
SSD,45,35
NCW,51,37
NCW,54,44
NCW,51,45
NCW,77,43
SSD,77,34
SSD,55,61
SSD,80,52
SSD,63,71
NCW,59,36
NCW,68,60
NCW,69,34
NCW,60,47
SSD,91,76
SSD,59,33
SSD,66,76
SSD,44,40
