Display,THD,TLD
NCW,0,0
NCW,0,0
NCW,0,0
NCW,0,0
NCW,0,0
SSD,0,0
SSD,0,0
SSD,0,0
SSD,0,0
SSD,0,0
NCW,0,0
NCW,0,0
NCW,0,0
NCW,0,0
SSD,0,0
SSD,0,0
SSD,0,0
SSD,0,0
NCW,0,0
NCW,0,0
NCW,0,0
NCW,0,0
SSD,0,0
SSD,0,0
SSD,0,0
SSD,0,0
