Display,THD,TLD
NCW,6,6
NCW,7,6
NCW,5,2
NCW,2,4
NCW,6,6
SSD,6,7
SSD,8,10
SSD,6,7
SSD,10,6
SSD,9,5
NCW,11,8
NCW,7,6
NCW,6,6
NCW,6,8
SSD,6,11
SSD,8,9
SSD,8,6
SSD,6,10
NCW,8,8
NCW,10,7
NCW,11,5
NCW,7,8
SSD,7,8
SSD,7,9
SSD,9,6
SSD,10,11
