Display,THD,TLD
NCW,0,0
NCW,2,5
NCW,4,6
NCW,2,0
NCW,5,0
SSD,2,1
SSD,3,4
SSD,0,0
SSD,3,3
SSD,3,3
NCW,6,1
NCW,7,2
NCW,0,3
NCW,3,2
SSD,9,2
SSD,7,3
SSD,3,2
SSD,11,2
NCW,1,2
NCW,4,2
NCW,5,2
NCW,6,3
SSD,12,6
SSD,9,0
SSD,7,6
SSD,8,1
