Display,THD,TLD
NCW,4,3
NCW,2,2
NCW,1,2
NCW,2,2
NCW,2,4
SSD,1,5
SSD,4,4
SSD,4,4
SSD,4,2
SSD,2,2
NCW,6,5
NCW,4,2
NCW,3,4
NCW,2,3
SSD,2,2
SSD,2,2
SSD,3,2
SSD,2,2
NCW,1,3
NCW,6,4
NCW,7,3
NCW,3,5
SSD,3,2
SSD,2,2
SSD,3,2
SSD,3,2
