Participant Number,Display,THD,TLD
1,NCW,63,41
2,NCW,40,20
3,NCW,56,45
4,NCW,30,15
5,NCW,41,22
6,SSD,51,30
7,SSD,51,17
8,SSD,87,70
9,SSD,48,30
10,SSD,45,35
11,NCW,51,37
12,NCW,54,44
13,NCW,51,45
14,NCW,77,43
15,SSD,77,34
16,SSD,55,61
17,SSD,80,52
18,SSD,63,71
19,NCW,59,36
20,NCW,68,60
21,NCW,69,34
22,NCW,60,47
23,SSD,91,76
24,SSD,59,33
25,SSD,66,76
26,SSD,44,40
