Display,THD,TLD
NCW,67.584,53.257
NCW,61.161,5.682
NCW,62.07,41.801
NCW,24.325,3.996
NCW,1.504,4.427
SSD,78.95,76.904
SSD,94.679,41.741
SSD,41.741,41.741
SSD,56.414,11.68
SSD,3.388,24.654
NCW,37.626,14.239
NCW,22.028,31.097
NCW,35.25,35.426
NCW,29.619,15.806
SSD,84.493,95.888
SSD,105.003,63.988
SSD,128.871,100.177
SSD,102.395,105.98
NCW,35.237,41.764
NCW,27.934,32.201
NCW,26.688,10.253
NCW,46.5,16.261
SSD,111.648,99.656
SSD,82.773,107.459
SSD,135.064,68.752
SSD,88.9,90.929
