Display,THD,TLD
NCW,5,4
NCW,6,6
NCW,5,2
NCW,2,4
NCW,4,6
SSD,6,7
SSD,8,10
SSD,5,7
SSD,10,6
SSD,9,5
NCW,11,7
NCW,6,6
NCW,6,6
NCW,5,7
SSD,5,6
SSD,6,5
SSD,5,5
SSD,5,5
NCW,7,8
NCW,10,6
NCW,11,4
NCW,6,8
SSD,6,6
SSD,4,6
SSD,7,4
SSD,7,6
