Participant Number,Display,THD,TLD
1,NCW,6,6
2,NCW,7,6
3,NCW,5,2
4,NCW,2,4
5,NCW,6,6
6,SSD,6,7
7,SSD,8,10
8,SSD,6,7
9,SSD,10,6
10,SSD,9,5
11,NCW,11,8
12,NCW,7,6
13,NCW,6,6
14,NCW,6,8
15,SSD,6,11
16,SSD,8,9
17,SSD,8,6
18,SSD,6,10
19,NCW,8,8
20,NCW,10,7
21,NCW,11,5
22,NCW,7,8
23,SSD,7,8
24,SSD,7,9
25,SSD,9,6
26,SSD,10,11
