Participant Number,Display,THD,TLD
1,NCW,13,11
2,NCW,3,1
3,NCW,10,7
4,NCW,53,75
5,NCW,2,1
6,SSD,22,21
7,SSD,28,39
8,SSD,0,0
9,SSD,24,35
10,SSD,49,47
11,NCW,9,12
12,NCW,13,9
13,NCW,10,13
14,NCW,3,12
15,SSD,43,11
16,SSD,14,35
17,SSD,8,14
18,SSD,44,28
19,NCW,4,13
20,NCW,3,6
21,NCW,11,2
22,NCW,7,5
23,SSD,45,8
24,SSD,12,37
25,SSD,29,4
26,SSD,49,14
