Participant Number,Display,THD,TLD
1,NCW,4,5
2,NCW,3,2
3,NCW,1,2
4,NCW,2,2
5,NCW,4,4
6,SSD,1,5
7,SSD,4,4
8,SSD,4,4
9,SSD,4,2
10,SSD,2,2
11,NCW,6,6
12,NCW,5,2
13,NCW,3,4
14,NCW,3,4
15,SSD,2,4
16,SSD,2,3
17,SSD,4,2
18,SSD,2,4
19,NCW,2,3
20,NCW,6,5
21,NCW,7,4
22,NCW,4,5
23,SSD,3,3
24,SSD,3,4
25,SSD,3,3
26,SSD,4,4
