Participant Number,Display,THD,TLD
1,NCW,12.048,0.0
2,NCW,0.0,0.0
3,NCW,0.0,0.0
4,NCW,0.0,0.0
5,NCW,0.0,0.0
6,SSD,0.0,0.0
7,SSD,14.447,0.0
8,SSD,0.0,0.0
9,SSD,0.0,0.0
10,SSD,0.0,0.0
11,NCW,4.058,3.376
12,NCW,0.0,2.707
13,NCW,0.0,2.252
14,NCW,8.24,0.0
15,SSD,0.0,0.0
16,SSD,0.0,0.0
17,SSD,0.0,0.0
18,SSD,0.0,0.0
19,NCW,0.0,3.136
20,NCW,6.425,0.0
21,NCW,0.0,0.0
22,NCW,3.033,0.0
23,SSD,0.0,0.0
24,SSD,0.0,0.0
25,SSD,0.0,0.0
26,SSD,0.0,0.0
